name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
中岳キャンプ場,大分県,,,14.6,3.9,5.0,8.3,13.2,17.7,21.2,25.2,25.6,22.1,16.5,10.9,5.6,,"https://www.google.com/maps?q=32.835167,131.5865916"
豊川市野外センターきららの里,愛知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.1199453,137.4817985"
帰全山キャンプ場,高知県,,,14.2,3.3,4.2,7.7,12.7,17.3,21.0,24.8,25.2,21.9,16.2,10.5,5.3,https://www.town.motoyama.kochi.jp/life/dtl.php?hdnKey=16,"https://www.google.com/maps?q=33.7569336,133.5952691"
デイキャンプ,愛知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.1981324,137.6041051"
市房キャンプ場,宮崎県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=32.3183098,131.0705099"
出会いの広場,長野県,,,9.7,-2.8,-2.3,1.6,8.0,14.0,17.9,21.6,22.4,18.1,11.8,5.8,0.2,,"https://www.google.com/maps?q=36.5066743,137.8012469"
森のくらしの郷,長野県,,,9.7,-2.8,-2.3,1.6,8.0,14.0,17.9,21.6,22.4,18.1,11.8,5.8,0.2,http://morikura.com/,"https://www.google.com/maps?q=36.5079762,137.7984715"
永田いなか浜キャンプ場,鹿児島県,,,19.6,11.8,12.3,14.6,17.8,21.0,23.7,27.0,27.5,25.7,22.2,18.2,13.9,,"https://www.google.com/maps?q=30.4076098,130.4348887"
野外活動広場,埼玉県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=35.8838539,139.3952763"
乳待坊公園いこいの広場キャンプ場,佐賀県,,,15.9,5.4,6.4,9.5,14.2,18.6,22.2,26.4,27.2,23.3,17.9,12.4,7.3,,"https://www.google.com/maps?q=33.219085,129.9067667"
大川内山キャンプ場,佐賀県,,,15.9,5.4,6.4,9.5,14.2,18.6,22.2,26.4,27.2,23.3,17.9,12.4,7.3,,"https://www.google.com/maps?q=33.2301127,129.8906893"
雪の浦キャンプ場,長崎県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=32.9603224,129.7095358"
友愛の丘　キャンプ場,岡山県,,,14.0,2.5,3.3,6.7,12.2,17.3,21.5,25.5,26.3,22.2,15.9,9.7,4.5,,"https://www.google.com/maps?q=34.8646799,133.9098143"
たけべの森キャンプ場,岡山県,,,14.0,2.5,3.3,6.7,12.2,17.3,21.5,25.5,26.3,22.2,15.9,9.7,4.5,,"https://www.google.com/maps?q=34.8571353,133.8706969"
